id,fix_5,fix_7.5,fix_10,fix_12.5,fix_15,fix_17.5,fix_20,random_5,random_7.5,random_10,random_12.5,random_15,random_17.5,random_20
261,10,10,10,20,20,20,30,NA,NA,NA,NA,NA,NA,NA
262,10,20,50,372,100,400,500,0,100,150,200,300,372,500
263,100,200,700,250,500,600,600,1000,1000,10000,1000,1000,1000,1000
264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
265,90,90,100,120,130,140,200,30,30,30,40,50,50,50
266,0,6,7,100,4,100,5,2,4,50,5,7,8,100
267,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,0,0,0,30,30,30,30,0,0,0,0,40,40,30
269,100,100,100,100,100,100,100,100,100,100,100,100,100,100
270,1000,1000,1000,1000,1000,1000,1000,50,300,90,100,300,400,70
271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
272,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
273,0,0,0,0,10,10,10,0,0,0,0,30,20,40
274,200,800,1000,1000,1000,1000,1000,400,400,600,1000,1000,800,1000
275,5,50,200,300,700,400,1000,1,70,200,300,300,600,1000
276,0,10,50,50,100,60,100,NA,NA,NA,NA,NA,NA,NA
277,1000,1000,1000,1000,1000,1000,1000,500,400,650,1000,1000,1000,1000
278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
280,50,65,75,125,150,175,200,20,20,50,40,20,50,50
281,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,0,100,200,300,400,500,600,200,300,350,350,400,450,600
283,10,123,100,100,100,100,200,0,10,50,20,50,50,100
284,0,0,40,40,40,50,50,0,0,40,50,40,10,50
285,2,5,5,5,6,6,10,0,0,0,0,3,6,5
286,100,100,500,500,750,750,1000,100,200,400,750,900,1000,1000
287,30,30,25,10,15,30,25,10,10,10,10,10,10,10
288,100,150,200,250,400,1000,1000,200,250,300,300,350,300,350
289,5,10,10,10,15,20,25,10,10,10,20,20,25,25
290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
291,50,100,1000,500,1000,1000,1000,0,50,100,500,500,1000,1000
292,400,200,300,500,700,1000,800,35,50,10,40,50,40,70
293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
294,30,35,35,40,30,45,50,20,30,40,25,20,20,100
295,0,0,0,0,1000,1000,1000,0,0,0,1000,1000,1000,1000
296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297,30,50,30,60,50,100,700,3,20,300,20,200,300,300
298,2,4,4,4,15,6,25,10,5,15,5,5,50,50
299,10,40,45,40,50,50,50,5,15,20,25,20,40,60
300,1000,900,700,500,300,200,100,1000,1000,1000,1000,1000,1000,1000
301,0,0,0,0,0,0,10,0,0,0,0,0,0,0
302,400,450,575,700,800,1000,1000,200,250,400,500,750,600,900
303,NA,NA,NA,NA,10000,NA,1000,NA,NA,NA,NA,NA,NA,NA
304,100,200,400,450,500,600,800,0,50,100,100,200,250,300
305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
306,350,500,1000,1000,1000,1000,1000,500,500,750,1000,1000,1000,1000
307,10,15,20,30,40,45,50,5,10,10,20,40,45,50
308,0,0,0,1000,1000,1000,1000,0,0,0,0,1000,1000,1000
309,10,5,5,30,40,60,60,5,20,15,40,30,45,100
310,200,200,350,300,500,400,300,200,200,100,300,200,250,300
311,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,0,10,15,70,20,50,100,10,20,30,40,60,70,80
313,50,50,100,150,100,150,300,NA,NA,NA,NA,NA,NA,NA
314,500,500,1000,1000,1000,1000,1000,100,500,750,950,1000,600,900
315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
316,0,5,5,5,5,10,10,5,10,10,20,10,20,20
317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
318,10,10,20,100,100,200,400,10,20,20,20,20,20,300
319,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,NA,NA,NA,10,NA,20,30,NA,NA,NA,NA,20,NA,30
321,100,200,200,300,600,500,800,100,150,200,250,300,400,1000
322,0,50,10,1000,1000,50,1000,20,20,100,150,150,300,200
323,0,0,100,150,500,750,1000,0,0,0,200,250,500,1000
324,0,75,100,125,150,175,200,NA,30,40,60,80,100,200
325,0,0,10,48,40,35,35,0,0,0,0,0,30,30
326,0,0,0,0,100,100,500,0,200,200,300,450,450,500
327,40,40,40,40,40,40,40,10,10,10,10,10,10,10
328,25,25,25,25,40,50,40,25,30,30,30,30,30,30
329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
